browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,chennai,ind,356007,tn,600010****,1,1.6,b'English_(United_States)',0,0,Windows_8,0,Y,Mobile**,MobileProtection,FLIPKART:Product_Page,Search,NON_LOGGED_IN,0,5,6,185,0,9,9,6
Google_Chrome_75,24,JS-1.5.1,Mobile_Carrier,IP_Address_Only,Other_Web_Sites,kokrajhar****,ind,0,or,752115****,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,Search_:Mobiles_&_Accessories,Tablet**,Search_Page,Search,NON_LOGGED_IN,0,5,6,186,0,2,16,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,delhi,ind,356001,dl,110007,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,NON_LOGGED_IN,0,5,3,186,1,16,2,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,mumbai,ind,356002,mh,400002,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,HomeFurnishing****,HelmetAndRidingGear**,Help_Centre,post_Finding_method_(ev61)_NA,INACTIVE,0,5,6,185,0,2,2,6
Google_Chrome_73,24,JS-1.5.1,LAN/Wifi,India,Other_Web_Sites,bawshar****,ind,356003,wb,742160****,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,Mobile**,Mobile,FLIPKART:Product_Page,Direct,INACTIVE,0,5,1,0,0,9,9,1
Google_Chrome_75,24,JS-1.5.1,Mobile_Carrier,Commercial_(mostly_U.S.),Typed/Bookmarked,lucknow,ind,356010,up,226016**,1,1.6,b'English_(United_States)',3,0,Windows_10,0,Y,Search,MensClothingTopWear,Search_Page,Direct,NON_LOGGED_IN,0,5,6,185,0,9,2,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Other_Web_Sites,mumbai,ind,356002,mh,400002,1,1.6,b'English_(United_States)',4,0,Windows_8.1,0,Y,COIN_ACTIVITY****,CarAndBikeBreakdownEquipment****,dynamic,Direct,ACTIVE,0,5,6,185,0,9,9,6
Mozilla_Firefox_(unknown_version)**,24,JS-1.5.1,LAN/Wifi,Commercial_(mostly_U.S.),Typed/Bookmarked,sanad****,fra,250059,hdf**,600010****,1,1.8.5,b'English_(United_States)',0,0,Linux,0,Y,View_All_Sellers_,MenFashionAccessory,View_All_Sellers,post_Finding_method_(ev61)_NA,NON_LOGGED_IN,0,5,6,186,0,2,2,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,nalgonda****,ind,0,mh,46200****,1,1.6,b'English_(United_Kingdom)',0,0,OS_X_10.12,0,Y,HomePage,HomePage,FLIPKART:HomePage,AS_QueryStore_HistoryAutoSuggest_0_0**,NON_LOGGED_IN,0,5,3,185,1,16,2,3
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,bangalore,ind,356004,ka,560004,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,HomeFurnishing****,HelmetAndRidingGear**,Help_Centre,Wishlist**,INACTIVE,0,5,6,218,0,16,2,3
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Other_Web_Sites,delhi,ind,356001,dl,110001**,1,1.6,b'English_(United_States)',1,0,Windows_10,0,Y,Television:JVC_109cm_**,Television,FLIPKART:Product_Page,Search,INACTIVE,0,5,6,100,0,16,16,3
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,patna,ind,356011,br,800001,1,1.6,b'English_(United_States)',0,0,Windows_7,0,Y,Checkout,Checkout:Address**,Checkout,Search,INACTIVE,0,5,6,48,0,12,16,3
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Other_Web_Sites,pune,ind,356005,mh,411033,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,My_Addresses**,My_Addresses**,My_Addresses,Direct,ACTIVE,0,5,6,185,0,2,12,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Other_Web_Sites,navsari,ind,356008,gj,396421,1,1.6,b'English_(United_States)',0,0,Windows_7,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,NON_LOGGED_IN,0,5,3,10,1,12,9,3
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Other_Web_Sites,coimbatore****,ind,356009,ap,530001****,1,1.6,b'English_(United_States)',0,0,Windows_7,0,Y,View_Cart,View_Cart,FLIPKART:View_Cart,Direct,INACTIVE,0,5,6,185,0,12,16,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,IP_Address_Only,Typed/Bookmarked,hyderabad,ind,356006,tg,500025,1,1.6,b'English_(United_States)',0,0,Windows_10,0,Y,Search,Gourmet****,Search_Page,Search,NON_LOGGED_IN,0,5,6,13,0,2,16,6
Google_Chrome_75,24,JS-1.5.1,LAN/Wifi,India,Other_Web_Sites,bangalore,ind,356004,ka,570004****,1,1.6,b'English_(United_Kingdom)',2,0,Windows_10,0,Y,CLP,CarAndBikeBreakdownEquipment****,FLIPKART:CLP,Browse,ACTIVE,0,5,1,70,0,16,16,3
